,id,make,model,true,predict,score,max_depth,max_leaf_nodes,min_impurity_decrease,min_samples_leaf,min_samples_split,n_estimators,alpha_value,trainScore
7366,3141330,Ford,Fiesta,9.301094735244646,9.058586070749492,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
8664,3152724,Volkswagen,Golf,9.949893925350283,9.86451373065978,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
17267,3169439,Hyundai,i20,9.38806805975991,9.44484985343292,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
1918,3097290,Volkswagen,Polo,9.464207095933233,9.411893625751869,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
5301,3135342,Skoda,Superb,9.86526633971593,9.988096789644176,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
15541,3166689,Volkswagen,Tiguan,10.46296047312364,10.45481019708233,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
210,3085621,Volkswagen,Golf,9.392245175273795,9.159138646334693,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
16744,3168555,Volkswagen,Polo,9.205327830152639,9.249740228367111,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
1692,3095758,Nissan,Serena,9.612466578818832,9.502585123936822,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
8565,3152501,Volkswagen,Polo,9.738023112808596,9.840930765407226,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
12906,3161848,Bmw,5 Series,10.858998997563564,10.3455804307763,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
15153,3165978,Toyota,Avensis,9.539644119118783,9.578227795382546,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
13650,3163335,Opel,Mokka,9.47231994707559,9.776028043974101,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
4903,3134003,Skoda,Superb,10.043032079974024,10.165889749855543,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
16793,3168625,Audi,Q5,10.644233711895351,10.447820184040125,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
4155,3109375,Audi,A4,9.433483923290392,9.107394621901083,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
4495,3114827,Toyota,Corolla,9.612466578818832,9.669356363895165,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
3630,3106434,Audi,A3,9.61547209118311,9.5624568984139,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
3199,3104177,Mercedes-benz,C Class,10.165659490817816,10.124439885892805,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
3274,3104493,Bmw,5 Series,11.080602902692181,11.031570078313168,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
